Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-obs.cdss.ig.json	4733	-	0	0	0	0	0	0	9	50	0	0	0	0	0	0	0	1	0	0	110	65	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-MessageForCDSS.json	3197	22	1	0	3	0	0	567	0	266	0	0	1	0	0	0	0	1	0	0	451	5033	0	0	0	12	0	1
fsh-generated/resources/ValueSet-ml-type-vs.json	412	13	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	4	7955	0	0	0	1	0	0
fsh-generated/resources/Device-MLModelExample.json	483	14	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ObsResult.json	1414	12	0	0	0	0	0	336	0	133	0	0	0	0	0	0	0	1	0	0	294	1805	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-MessageHeaderCDSS.json	1531	13	0	0	0	0	0	108	0	76	0	0	0	0	0	0	0	0	0	0	171	805	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-my-cs.json	389	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	45	0	0	0	1	0	0
fsh-generated/resources/Bundle-MessageForCDSSRequest.json	13243	36	0	0	0	0	0	0	1	177	0	0	0	0	0	0	0	0	0	0	67	71	0	0	0	0	0	0
fsh-generated/resources/ValueSet-my-vs.json	344	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ml-response-cs.json	635	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ml-type-cs.json	901	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-predict.json	688	13	1	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-448492b8-0911-11ee-8a5c-2e8ac521fb46.json	2630	12	0	0	0	1	0	0	0	70	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MLModel.json	1787	14	0	0	0	0	0	183	0	135	0	0	0	0	0	0	0	1	0	0	284	1015	0	0	0	8	0	2
fsh-generated/resources/ValueSet-ml-response-vs.json	411	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	34	0	0	0	1	0	0
